cell_id,branch_label
6458,regulatory T
6461,regulatory T
6463,regulatory T
6469,cytotoxic T lymphocytes
6472,regulatory T
6476,cytotoxic T lymphocytes
6477,proliferative CD4 T
6481,regulatory T
6494,regulatory T
6496,regulatory T
6500,cytotoxic T lymphocytes
6501,cytotoxic T lymphocytes
6503,cytotoxic T lymphocytes
6506,regulatory T
6509,central memory T
6521,regulatory T
6532,central memory T
6540,cytotoxic T lymphocytes
6543,regulatory T
6545,regulatory T
6553,regulatory T
6554,cytotoxic T lymphocytes
6555,regulatory T
6557,regulatory T
6562,regulatory T
6567,regulatory T
6570,regulatory T
6572,regulatory T
6576,central memory T
6585,regulatory T
6587,regulatory T
6589,proliferative CD4 T
6597,intermediate T
6604,cytotoxic T lymphocytes
6607,regulatory T
6613,proliferative CD4 T
6615,proliferative CD4 T
6619,regulatory T
6634,regulatory T
6636,cytotoxic T lymphocytes
6637,central memory T
6658,regulatory T
6663,regulatory T
6668,regulatory T
6672,regulatory T
6676,regulatory T
6677,regulatory T
6683,cytotoxic T lymphocytes
6686,regulatory T
6692,cytotoxic T lymphocytes
6710,cytotoxic T lymphocytes
6712,regulatory T
6714,proliferative CD4 T
6720,regulatory T
6721,proliferative CD4 T
6727,regulatory T
6733,regulatory T
6738,effector memory T
6747,regulatory T
6753,regulatory T
6757,regulatory T
6768,cytotoxic T lymphocytes
6785,proliferative CD4 T
6786,regulatory T
6800,regulatory T
6801,regulatory T
6808,regulatory T
6817,regulatory T
6818,regulatory T
6819,cytotoxic T lymphocytes
6833,regulatory T
6836,cytotoxic T lymphocytes
6844,regulatory T
6847,cytotoxic T lymphocytes
6850,central memory T
6858,regulatory T
6861,regulatory T
6862,regulatory T
6866,cytotoxic T lymphocytes
6868,tissue-resident memory T
6871,cytotoxic T lymphocytes
6875,regulatory T
6879,regulatory T
6880,cytotoxic T lymphocytes
6886,regulatory T
6888,cytotoxic T lymphocytes
6890,central memory T
6891,cytotoxic T lymphocytes
6893,regulatory T
6897,regulatory T
6901,cytotoxic T lymphocytes
6903,cytotoxic T lymphocytes
6907,intermediate T
6908,regulatory T
6910,regulatory T
6917,regulatory T
6920,central memory T
6921,regulatory T
6931,regulatory T
6940,central memory T
6942,regulatory T
6951,regulatory T
6953,cytotoxic T lymphocytes
6956,proliferative CD4 T
6958,cytotoxic T lymphocytes
6960,regulatory T
6964,regulatory T
6969,regulatory T
6972,regulatory T
6987,regulatory T
6988,naïve T
6990,regulatory T
6993,regulatory T
6994,regulatory T
6999,regulatory T
7001,proliferative CD4 T
7006,regulatory T
7026,regulatory T
7027,regulatory T
7028,regulatory T
7029,proliferative CD4 T
7034,tissue-resident memory T
7037,regulatory T
7043,regulatory T
7053,central memory T
7056,tissue-resident memory T
7057,regulatory T
7060,regulatory T
7063,tissue-resident memory T
7066,regulatory T
7068,cytotoxic T lymphocytes
7079,regulatory T
7080,intermediate T
7087,proliferative CD4 T
7089,regulatory T
7096,cytotoxic T lymphocytes
7111,regulatory T
7112,regulatory T
7115,regulatory T
7122,regulatory T
7123,regulatory T
7131,proliferative CD4 T
7134,regulatory T
7142,regulatory T
7144,regulatory T
7151,tissue-resident memory T
7156,central memory T
7159,regulatory T
7161,regulatory T
7162,proliferative CD4 T
7164,regulatory T
7165,regulatory T
7170,cytotoxic T lymphocytes
7175,central memory T
7185,cytotoxic T lymphocytes
7188,tissue-resident memory T
7197,tissue-resident memory T
7204,regulatory T
7205,regulatory T
7226,central memory T
7227,regulatory T
7233,cytotoxic T lymphocytes
7234,regulatory T
7258,proliferative CD4 T
7263,cytotoxic T lymphocytes
7266,cytotoxic T lymphocytes
7270,regulatory T
7285,central memory T
7289,central memory T
7293,regulatory T
7305,regulatory T
7311,regulatory T
7312,regulatory T
7316,proliferative CD4 T
7325,regulatory T
7332,central memory T
7334,central memory T
7338,regulatory T
7342,regulatory T
7357,proliferative CD4 T
7361,regulatory T
7368,central memory T
7375,regulatory T
7376,tissue-resident memory T
7386,proliferative CD4 T
7390,regulatory T
7392,regulatory T
7394,central memory T
7397,regulatory T
7399,cytotoxic T lymphocytes
7407,regulatory T
7411,regulatory T
7415,regulatory T
7416,regulatory T
7417,proliferative CD4 T
7421,cytotoxic T lymphocytes
7425,central memory T
7428,tissue-resident memory T
7432,regulatory T
7444,regulatory T
7445,tissue-resident memory T
7449,regulatory T
7452,regulatory T
7454,regulatory T
7455,regulatory T
7458,intermediate T
7459,central memory T
7470,regulatory T
7475,regulatory T
7476,regulatory T
7480,cytotoxic T lymphocytes
7488,regulatory T
7492,regulatory T
7498,regulatory T
7500,regulatory T
7504,central memory T
7507,cytotoxic T lymphocytes
7513,proliferative CD4 T
7518,regulatory T
7524,regulatory T
7536,regulatory T
7549,intermediate T
